Gene::57264	0
Disease::MESH:C565627	1
Compound::DB00059	2
Gene::100009250	3
Gene::14555	4
Compound::DB07435	5
Compound::DB15135	6
Gene::315655	7
Gene::108716102	8
Compound::DB01330	9
Compound::MESH:C577639	10
Gene::9846	11
Disease::MESH:D007968	12
Gene::84487	13
Compound::MESH:C004632	14
Gene::drugbank:BE0004882	15
Gene::824693	16
Compound::DB07095	17
Disease::MESH:D002318	18
Compound::DB11632	19
Compound::MESH:C120519	20
Compound::DB12769	21
Disease::MESH:C537258	22
Gene::268977	23
Gene::240	24
Gene::319520	25
Compound::DB11952	26
Compound::MESH:C548062	27
Gene::81703	28
Gene::7559	29
Gene::48805	30
Compound::MESH:C418262	31
Disease::MESH:C536170	32
Gene::26254	33
Compound::MESH:D006064	34
Compound::DB07537	35
Compound::DB11844	36
Disease::MESH:D002305	37
Gene::13636	38
Gene::84092	39
Compound::DB07474	40
Gene::180448	41
Gene::227960	42
Compound::MESH:C038810	43
Compound::MESH:C033163	44
Gene::24615	45
Gene::2703385	46
Gene::100313838	47
Gene::25416	48
Compound::DB03866	49
Disease::MESH:D015408	50
Gene::266599	51
Compound::DB12781	52
Compound::DB13989	53
Compound::MESH:D047188	54
Compound::DB11744	55
Gene::29542	56
Gene::474442	57
Compound::MESH:C549934	58
Gene::281135	59
Compound::DB11377	60
Compound::MESH:C424127	61
Gene::497229	62
Compound::DB06267	63
Gene::19765	64
Gene::drugbank:BE0002014	65
Gene::29261	66
Compound::DB13338	67
Gene::852848	68
Gene::6920	69
Gene::56975	70
Gene::733420	71
Gene::57120	72
Compound::MESH:D004072	73
Gene::51886	74
Gene::7042	75
Gene::693175	76
Compound::DB15293	77
Compound::MESH:C063524	78
Gene::110674	79
Gene::4713	80
Compound::DB14486	81
Gene::116085	82
Compound::MESH:C095427	83
Gene::396928	84
Gene::94167	85
Compound::DB14545	86
Gene::65130	87
Compound::DB02528	88
Gene::64754	89
Compound::DB03492	90
Compound::MESH:D002084	91
Gene::59006	92
Compound::DB05710	93
Gene::7202	94
Compound::CHEBI:48854	95
Compound::DB07740	96
Gene::drugbank:BE0004018	97
Compound::CHEBI:26666	98
Compound::MESH:C005900	99
Disease::MESH:D018227	100
Gene::64975	101
Compound::MESH:C495122	102
Gene::969	103
Compound::CHEBI:27750	104
Gene::13876	105
Gene::23760	106
Compound::DB09263	107
Gene::834417	108
Compound::MESH:C032640	109
Compound::DB03228	110
Compound::DB06231	111
Compound::CHEBI:30621	112
Gene::797	113
Compound::MESH:D010880	114
Compound::MESH:C010774	115
Gene::59335	116
Compound::DB02885	117
Compound::DB00314	118
Disease::MESH:D006849	119
Compound::MESH:C018541	120
Disease::MESH:D012227	121
Compound::DB04352	122
Gene::15142	123
Gene::7039	124
Compound::MESH:C414785	125
Gene::850317	126
Disease::MESH:C538324	127
Gene::100009477	128
Compound::DB03379	129
Disease::MESH:D016869	130
Disease::MESH:C563178	131
Compound::CHEBI:50091	132
Compound::DB02094	133
Gene::18430	134
Gene::181337	135
Gene::drugbank:BE0003165	136
Gene::74006	137
Gene::179100	138
Compound::MESH:C067818	139
Gene::26	140
Compound::MESH:C017807	141
Gene::843133	142
Gene::59350	143
Gene::734936	144
Gene::10592	145
Gene::116225	146
Compound::DB14473	147
Gene::25945	148
Compound::DB05098	149
Compound::MESH:D012500	150
Gene::84925	151
Gene::852702	152
Disease::MESH:D054139	153
Gene::4296	154
Compound::MESH:C020326	155
Gene::855092	156
Compound::MESH:C004504	157
